,distrito_id,seccion_id,seccionprovincial_id,seccion_nombre,codprov,coddepto,IN1,NAM
1,1,1,0,Comuna 01,1,1,2007,Comuna 1
9,1,2,0,Comuna 02,1,2,2014,Comuna 2
15,1,3,0,Comuna 03,1,3,2021,Comuna 3
2,1,4,0,Comuna 04,1,4,2028,Comuna 4
6,1,5,0,Comuna 05,1,5,2035,Comuna 5
19,1,6,0,Comuna 06,1,6,2042,Comuna 6
33,1,7,0,Comuna 07,1,7,2049,Comuna 7
5,1,8,0,Comuna 08,1,8,2056,Comuna 8
8,1,9,0,Comuna 09,1,9,2063,Comuna 9
17,1,10,0,Comuna 10,1,10,2070,Comuna 10
25,1,11,0,Comuna 11,1,11,2077,Comuna 11
7,1,12,0,Comuna 12,1,12,2084,Comuna 12
10,1,13,0,Comuna 13,1,13,2091,Comuna 13
34,1,14,0,Comuna 14,1,14,2098,Comuna 14
0,1,15,0,Comuna 15,1,15,2105,Comuna 15
268,2,121,7,25 De Mayo,2,121,6854,25 de Mayo
311,2,1,6,Adolfo Alsina,2,1,6007,Adolfo Alsina
432,2,56,6,Adolfo Gonzales Chaves,2,56,6014,Adolfo Gonzales Chaves
461,2,2,4,Alberti,2,2,6021,Alberti
299,2,3,3,Almirante Brown,2,3,6028,Almirante Brown
417,2,10,2,Arrecifes,2,10,6077,Arrecifes
303,2,4,3,Avellaneda,2,4,6035,Avellaneda
282,2,5,5,Ayacucho,2,5,6042,Ayacucho
273,2,6,7,Azul,2,6,6049,Azul
325,2,7,6,Bahía Blanca,2,7,6056,Bahía Blanca
352,2,8,5,Balcarce,2,8,6063,Balcarce
274,2,9,2,Baradero,2,9,6070,Baradero
362,2,59,6,Benito Juárez,2,59,6084,Benito Juárez
283,2,11,3,Berazategui,2,11,6091,Berazategui
286,2,12,3,Berisso,2,12,6098,Berisso
392,2,13,7,Bolívar,2,13,6105,Bolívar
403,2,14,4,Bragado,2,14,6112,Bragado
370,2,15,3,Brandsen,2,15,6119,Brandsen
381,2,16,1,Campana,2,16,6126,Campana
340,2,18,2,Capitán Sarmiento,2,18,6140,Capitán Sarmiento
391,2,19,4,Carlos Casares,2,19,6147,Carlos Casares
319,2,20,4,Carlos Tejedor,2,20,6154,Carlos Tejedor
376,2,21,2,Carmen De Areco,2,21,6161,Carmen de Areco
455,2,23,5,Castelli,2,23,6168,Castelli
335,2,17,3,Cañuelas,2,17,6134,Cañuelas
399,2,29,4,Chacabuco,2,29,6210,Chacabuco
331,2,30,5,Chascomús,2,30,6218,Chascomús
260,2,31,4,Chivilcoy,2,31,6224,Chivilcoy
348,2,24,2,Colón,2,24,6175,Colón
270,2,25,6,Coronel Dorrego,2,25,6189,Coronel Dorrego
322,2,26,6,Coronel Pringles,2,26,6196,Coronel Pringles
350,2,27,6,Coronel Rosales,2,27,6182,Coronel de Marina Leonardo Rosales
291,2,28,6,Coronel Suárez,2,28,6203,Coronel Suárez
359,2,32,6,Daireaux,2,32,6231,Daireaux
332,2,33,5,Dolores,2,33,6238,Dolores
281,2,34,3,Ensenada,2,34,6245,Ensenada
346,2,35,1,Escobar,2,35,6252,Escobar
324,2,36,3,Esteban Echeverría,2,36,6260,Esteban Echeverría
383,2,37,2,Exaltación De La Cruz,2,37,6266,Exaltación de la Cruz
380,2,132,3,Ezeiza,2,132,6270,Ezeiza
406,2,127,4,F. Ameghino,2,127,6277,Florentino Ameghino
267,2,38,3,Florencio Varela,2,38,6274,Florencio Varela
396,2,39,5,General Alvarado,2,39,6280,General Alvarado
353,2,40,7,General Alvear,2,40,6287,General Alvear
393,2,41,4,General Arenales,2,41,6294,General Arenales
387,2,42,5,General Belgrano,2,42,6301,General Belgrano
