eleccion_id,año,eleccion_tipo,recuento_tipo,padron_tipo,eleccion_tag
1,2011,PASO,PROVISORIO,NORMAL,PASO11n
10,2017,PASO,PROVISORIO,NORMAL,PASO17n
9,2017,PASO,PROVISORIO,COMANDO,PASO17c
8,2017,GENERAL,PROVISORIO,NORMAL,GRAL17n
7,2017,GENERAL,PROVISORIO,COMANDO,GRAL17c
5,2015,GENERAL,PROVISORIO,NORMAL,GRAL15n
4,2015,BALLOTAGE,PROVISORIO,NORMAL,BLTG15n
0,2011,GENERAL,PROVISORIO,NORMAL,GRAL11n
6,2015,PASO,PROVISORIO,NORMAL,PASO15n
3,2013,PASO,PROVISORIO,NORMAL,PASO13n
2,2013,GENERAL,PROVISORIO,NORMAL,GRAL13n
16,2021,PASO,PROVISORIO,NORMAL,PASO21n
15,2021,PASO,PROVISORIO,COMANDO,PASO21c
14,2019,PASO,PROVISORIO,NORMAL,PASO19n
13,2019,PASO,PROVISORIO,COMANDO,PASO19c
12,2019,GENERAL,PROVISORIO,NORMAL,GRAL19n
11,2019,GENERAL,PROVISORIO,COMANDO,GRAL19c
