,distrito_id,seccion_id,seccionprovincial_id,seccion_nombre,codprov,coddepto,IN1,NAM,counts,_merge
1,01,001,0.0,Comuna 01,01,001,2007.0,Comuna 1,19.0,both
9,01,002,0.0,Comuna 02,01,002,2014.0,Comuna 2,10.0,both
15,01,003,0.0,Comuna 03,01,003,2021.0,Comuna 3,13.0,both
2,01,004,0.0,Comuna 04,01,004,2028.0,Comuna 4,15.0,both
6,01,005,0.0,Comuna 05,01,005,2035.0,Comuna 5,10.0,both
19,01,006,0.0,Comuna 06,01,006,2042.0,Comuna 6,7.0,both
33,01,007,0.0,Comuna 07,01,007,2049.0,Comuna 7,12.0,both
5,01,008,0.0,Comuna 08,01,008,2056.0,Comuna 8,4.0,both
8,01,009,0.0,Comuna 09,01,009,2063.0,Comuna 9,11.0,both
17,01,010,0.0,Comuna 10,01,010,2070.0,Comuna 10,11.0,both
25,01,011,0.0,Comuna 11,01,011,2077.0,Comuna 11,11.0,both
7,01,012,0.0,Comuna 12,01,012,2084.0,Comuna 12,10.0,both
10,01,013,0.0,Comuna 13,01,013,2091.0,Comuna 13,14.0,both
34,01,014,0.0,Comuna 14,01,014,2098.0,Comuna 14,10.0,both
0,01,015,0.0,Comuna 15,01,015,2105.0,Comuna 15,10.0,both
268,02,121,7.0,25 De Mayo,02,121,6854.0,25 de Mayo,12.0,both
311,02,001,6.0,Adolfo Alsina,02,001,6007.0,Adolfo Alsina,7.0,both
432,02,056,6.0,Adolfo Gonzales Chaves,02,056,6014.0,Adolfo Gonzales Chaves,3.0,both
461,02,002,4.0,Alberti,02,002,6021.0,Alberti,6.0,both
299,02,003,3.0,Almirante Brown,02,003,6028.0,Almirante Brown,10.0,both
417,02,010,2.0,Arrecifes,02,010,6077.0,Arrecifes,5.0,both
303,02,004,3.0,Avellaneda,02,004,6035.0,Avellaneda,14.0,both
282,02,005,5.0,Ayacucho,02,005,6042.0,Ayacucho,11.0,both
273,02,006,7.0,Azul,02,006,6049.0,Azul,12.0,both
325,02,007,6.0,Bahía Blanca,02,007,6056.0,Bahía Blanca,20.0,both
352,02,008,5.0,Balcarce,02,008,6063.0,Balcarce,8.0,both
274,02,009,2.0,Baradero,02,009,6070.0,Baradero,9.0,both
362,02,059,6.0,Benito Juárez,02,059,6084.0,Benito Juárez,7.0,both
283,02,011,3.0,Berazategui,02,011,6091.0,Berazategui,13.0,both
286,02,012,3.0,Berisso,02,012,6098.0,Berisso,4.0,both
392,02,013,7.0,Bolívar,02,013,6105.0,Bolívar,10.0,both
403,02,014,4.0,Bragado,02,014,6112.0,Bragado,10.0,both
370,02,015,3.0,Brandsen,02,015,6119.0,Brandsen,7.0,both
381,02,016,1.0,Campana,02,016,6126.0,Campana,5.0,both
340,02,018,2.0,Capitán Sarmiento,02,018,6140.0,Capitán Sarmiento,2.0,both
391,02,019,4.0,Carlos Casares,02,019,6147.0,Carlos Casares,8.0,both
319,02,020,4.0,Carlos Tejedor,02,020,6154.0,Carlos Tejedor,6.0,both
376,02,021,2.0,Carmen De Areco,02,021,6161.0,Carmen de Areco,3.0,both
455,02,023,5.0,Castelli,02,023,6168.0,Castelli,3.0,both
335,02,017,3.0,Cañuelas,02,017,6134.0,Cañuelas,8.0,both
399,02,029,4.0,Chacabuco,02,029,6210.0,Chacabuco,11.0,both
331,02,030,5.0,Chascomús,02,030,6218.0,Chascomús,9.0,both
260,02,031,4.0,Chivilcoy,02,031,6224.0,Chivilcoy,16.0,both
348,02,024,2.0,Colón,02,024,6175.0,Colón,4.0,both
270,02,025,6.0,Coronel Dorrego,02,025,6189.0,Coronel Dorrego,10.0,both
322,02,026,6.0,Coronel Pringles,02,026,6196.0,Coronel Pringles,7.0,both
350,02,027,6.0,Coronel Rosales,02,027,6182.0,Coronel de Marina Leonardo Rosales,5.0,both
291,02,028,6.0,Coronel Suárez,02,028,6203.0,Coronel Suárez,12.0,both
359,02,032,6.0,Daireaux,02,032,6231.0,Daireaux,5.0,both
332,02,033,5.0,Dolores,02,033,6238.0,Dolores,4.0,both
281,02,034,3.0,Ensenada,02,034,6245.0,Ensenada,4.0,both
346,02,035,1.0,Escobar,02,035,6252.0,Escobar,6.0,both
324,02,036,3.0,Esteban Echeverría,02,036,6260.0,Esteban Echeverría,12.0,both
383,02,037,2.0,Exaltación De La Cruz,02,037,6266.0,Exaltación de la Cruz,7.0,both
380,02,132,3.0,Ezeiza,02,132,6270.0,Ezeiza,3.0,both
406,02,127,4.0,F. Ameghino,02,127,6277.0,Florentino Ameghino,3.0,both
267,02,038,3.0,Florencio Varela,02,038,6274.0,Florencio Varela,10.0,both
396,02,039,5.0,General Alvarado,02,039,6280.0,General Alvarado,5.0,both
353,02,040,7.0,General Alvear,02,040,6287.0,General Alvear,3.0,both
