año,eleccion_tag,cargo_nombre,agrupacion_nombre,lista_numero,votos_tipo,001013,001014,001015,001016,001017,001018,001019,001020,001021,01013A
2011,GRAL11n,Diputado Nacional,Alianza Frente para la Victoria,0,POSITIVO,8630.0,10994.0,2982.0,1068.0,8757.0,4130.0,147.0,32.0,4728.0,112.0
2011,GRAL11n,Presidente,Alianza Frente para la Victoria,0,POSITIVO,8942.0,11528.0,3065.0,1133.0,9141.0,4412.0,161.0,34.0,4982.0,125.0
2013,GRAL13n,Diputado Nacional,FRENTE PARA LA VICTORIA,0,POSITIVO,4386.0,5767.0,1479.0,521.0,4493.0,2020.0,72.0,15.0,2838.0,62.0
2013,GRAL13n,Diputado Nacional,FRENTE RENOVADOR,0,POSITIVO,7401.0,7678.0,2520.0,896.0,6274.0,3391.0,122.0,17.0,2813.0,56.0
2013,PASO13n,Diputado Nacional,FRENTE PARA LA VICTORIA,3323.0,POSITIVO,3980.0,5056.0,1336.0,455.0,4052.0,1940.0,57.0,9.0,2962.0,53.0
2013,PASO13n,Diputado Nacional,FRENTE RENOVADOR,3307.0,POSITIVO,5546.0,5478.0,1781.0,684.0,4179.0,2411.0,79.0,13.0,1817.0,44.0
2015,BLTG15n,Presidente,CAMBIEMOS,0,POSITIVO,9822.0,7519.0,3145.0,1132.0,5934.0,3407.0,161.0,15.0,2372.0,41.0
2015,BLTG15n,Presidente,FRENTE PARA LA VICTORIA,0,POSITIVO,7129.0,11050.0,2541.0,1102.0,8541.0,3844.0,132.0,25.0,5081.0,94.0
2015,GRAL15n,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,0,POSITIVO,5193.0,7236.0,1769.0,790.0,5879.0,2608.0,88.0,19.0,3852.0,70.0
2015,GRAL15n,Diputado Nacional,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),0,POSITIVO,3183.0,3822.0,1184.0,459.0,3303.0,1783.0,72.0,7.0,1044.0,23.0
2015,GRAL15n,Diputado Nacional,CAMBIEMOS BUENOS AIRES,0,POSITIVO,6326.0,3642.0,1901.0,663.0,3027.0,1741.0,101.0,9.0,1195.0,20.0
2015,GRAL15n,Presidente,ALIANZA CAMBIEMOS,0,POSITIVO,6617.0,3748.0,1984.0,682.0,3107.0,1840.0,101.0,10.0,1230.0,22.0
2015,GRAL15n,Presidente,ALIANZA FRENTE PARA LA VICTORIA,0,POSITIVO,5548.0,7729.0,1887.0,817.0,6584.0,2795.0,103.0,18.0,4158.0,82.0
