año,eleccion_tag,cargo_nombre,agrupacion_nombre,lista_numero,POSITIVO
2011,GRAL11n,Concejal,Alianza Frente para la Victoria,0,10700
2011,GRAL11n,Concejal,Nuevo Zarate,0,32100
2011,GRAL11n,Diputado Nacional,Alianza Frente para la Victoria,0,41600
2011,GRAL11n,Presidente,Alianza Frente Amplio Progresista,0,9000
2011,GRAL11n,Presidente,Alianza Frente para la Victoria,0,43500
2013,GRAL13n,Diputado Nacional,FRENTE PARA LA VICTORIA,0,21700
2013,GRAL13n,Diputado Nacional,FRENTE RENOVADOR,0,31200
2013,PASO13n,Diputado Nacional,FRENTE PARA LA VICTORIA,3323.0,19900
2013,PASO13n,Diputado Nacional,FRENTE PROGRESISTA CIVICO Y SOCIAL,3310.0,8400
2013,PASO13n,Diputado Nacional,FRENTE RENOVADOR,3307.0,22000
2015,BLTG15n,Presidente,CAMBIEMOS,0,33500
2015,BLTG15n,Presidente,FRENTE PARA LA VICTORIA,0,39500
2015,GRAL15n,Concejal,ALIANZA FRENTE PARA LA VICTORIA,0,13700
2015,GRAL15n,Concejal,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),0,9800
2015,GRAL15n,Concejal,CAMBIEMOS BUENOS AIRES,0,13700
2015,GRAL15n,Concejal,NUEVO ZARATE,0,26500
2015,GRAL15n,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,0,27500
2015,GRAL15n,Diputado Nacional,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),0,14900
2015,GRAL15n,Diputado Nacional,CAMBIEMOS BUENOS AIRES,0,18600
2015,GRAL15n,Presidente,ALIANZA CAMBIEMOS,0,19300
2015,GRAL15n,Presidente,ALIANZA FRENTE PARA LA VICTORIA,0,29700
2015,GRAL15n,Presidente,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),0,17500
2015,PASO15n,Concejal,ALIANZA FRENTE PARA LA VICTORIA,0,12700
2015,PASO15n,Concejal,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),0,10500
2015,PASO15n,Concejal,CAMBIEMOS BUENOS AIRES,0,13700
2015,PASO15n,Concejal,NUEVO ZARATE,0,18200
2015,PASO15n,Diputado Nacional,ALIANZA CAMBIEMOS,3182.0,13500
2015,PASO15n,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,3166.0,23900
2015,PASO15n,Diputado Nacional,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),3192.0,12700
2015,PASO15n,Presidente,ALIANZA CAMBIEMOS,3182.0,13600
2015,PASO15n,Presidente,ALIANZA FRENTE PARA LA VICTORIA,3166.0,26300
2015,PASO15n,Presidente,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),3192.0,13200
2017,GRAL17n,Diputado Nacional,1PAIS,0,8500
2017,GRAL17n,Diputado Nacional,CAMBIEMOS BUENOS AIRES,0,28600
2017,GRAL17n,Diputado Nacional,UNIDAD CIUDADANA,0,28500
2017,PASO17n,Diputado Nacional,1PAIS,3165.0,11100
2017,PASO17n,Diputado Nacional,CAMBIEMOS BUENOS AIRES,3173.0,22900
2017,PASO17n,Diputado Nacional,UNIDAD CIUDADANA,3304.0,27100
2019,GRAL19n,Diputado Nacional,FRENTE DE TODOS,0,38500
2019,GRAL19n,Diputado Nacional,JUNTOS POR EL CAMBIO,0,23900
2019,GRAL19n,Presidente,FRENTE DE TODOS,0,39800
2019,GRAL19n,Presidente,JUNTOS POR EL CAMBIO,0,23800
2019,PASO19n,Diputado Nacional,FRENTE DE TODOS,A,36700
2019,PASO19n,Diputado Nacional,JUNTOS POR EL CAMBIO,A,20800
2019,PASO19n,Presidente,FRENTE DE TODOS,A,38700
2019,PASO19n,Presidente,JUNTOS POR EL CAMBIO,A,20600
2021,PASO21n,Concejal,FRENTE DE TODOS,5.0,18300
2021,PASO21n,Concejal,JUNTOS,2.0,11300
2021,PASO21n,Diputado Nacional,FRENTE DE TODOS,3.0,19000
2021,PASO21n,Diputado Nacional,JUNTOS,5.0,8900
2021,PASO21n,Diputado Nacional,JUNTOS,6.0,15900
2023,PASO23n,Diputado Nacional,JUNTOS POR EL CAMBIO,3008.0,11900
2023,PASO23n,Diputado Nacional,LA LIBERTAD AVANZA,3016.0,14800
2023,PASO23n,Diputado Nacional,UNION POR LA PATRIA,3005,20700
2023,PASO23n,Presidente,JUNTOS POR EL CAMBIO,3008.0,11800
2023,PASO23n,Presidente,LA LIBERTAD AVANZA,3016.0,16900
2023,PASO23n,Presidente,UNION POR LA PATRIA,3005,15700
