eleccion_id,agrupacion_nombre,lista_nombre,cargo_id,lista_votos,cluster,año,eleccion_tipo,recuento_tipo,padron_tipo,eleccion_tag,cargo_nombre,cargo_tag
3,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,LINEA BLANCA Y CELESTE - 4,7,8753,1,2013,PASO,PROVISORIO,NORMAL,PASO13n,Concejal,IN
3,FRENTE RENOVADOR,CORRIENTE RENOVADORA - LISTA 1,7,17297,3,2013,PASO,PROVISORIO,NORMAL,PASO13n,Concejal,IN
14,FRENTE DE TODOS,CELESTE Y BLANCA - 2,7,34891,1,2019,PASO,PROVISORIO,NORMAL,PASO19n,Concejal,IN
14,JUNTOS POR EL CAMBIO,3A - ROJO,7,9397,2,2019,PASO,PROVISORIO,NORMAL,PASO19n,Concejal,IN
14,JUNTOS POR EL CAMBIO,1A - AMARILLO,7,11489,2,2019,PASO,PROVISORIO,NORMAL,PASO19n,Concejal,IN
3,FRENTE PARA LA VICTORIA,LISTA 2 - CELESTE Y BLANCA K,6,19635,1,2013,PASO,PROVISORIO,NORMAL,PASO13n,Diputado Provincial,DP
3,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD PROGRESISTA - A,6,8667,2,2013,PASO,PROVISORIO,NORMAL,PASO13n,Diputado Provincial,DP
3,FRENTE RENOVADOR,CORRIENTE RENOVADORA - LISTA 1,6,19797,3,2013,PASO,PROVISORIO,NORMAL,PASO13n,Diputado Provincial,DP
16,FRENTE DE TODOS,CELESTE Y BLANCA 2,6,18940,1,2021,PASO,PROVISORIO,NORMAL,PASO21n,Diputado Provincial,DP
16,JUNTOS,DAR EL PASO,6,8596,2,2021,PASO,PROVISORIO,NORMAL,PASO21n,Diputado Provincial,DP
16,JUNTOS,A,6,16017,3,2021,PASO,PROVISORIO,NORMAL,PASO21n,Diputado Provincial,DP
10,UNIDAD CIUDADANA,CELESTE Y BLANCA U2,6,26312,1,2017,PASO,PROVISORIO,NORMAL,PASO17n,Diputado Provincial,DP
10,CAMBIEMOS BUENOS AIRES,1A AMARILLO,6,22602,2,2017,PASO,PROVISORIO,NORMAL,PASO17n,Diputado Provincial,DP
10,1PAIS,UN PAIS UNIDO HOY Y SIEMPRE,6,10806,3,2017,PASO,PROVISORIO,NORMAL,PASO17n,Diputado Provincial,DP
3,FRENTE PARA LA VICTORIA,LISTA 2 - CELESTE Y BLANCA K,3,19900,1,2013,PASO,PROVISORIO,NORMAL,PASO13n,Diputado Nacional,DN
3,FRENTE RENOVADOR,CORRIENTE RENOVADORA - LISTA 1,3,22032,3,2013,PASO,PROVISORIO,NORMAL,PASO13n,Diputado Nacional,DN
6,ALIANZA FRENTE PARA LA VICTORIA,A LISTA CELESTE Y BLANCA K NESTOR KIRCHNER,3,23881,1,2015,PASO,PROVISORIO,NORMAL,PASO15n,Diputado Nacional,DN
6,ALIANZA CAMBIEMOS,LISTA G EL CAMINO DEL CAMBIO,3,13516,2,2015,PASO,PROVISORIO,NORMAL,PASO15n,Diputado Nacional,DN
6,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),A FRENTE RENOVADOR +A15,3,12662,3,2015,PASO,PROVISORIO,NORMAL,PASO15n,Diputado Nacional,DN
16,FRENTE DE TODOS,CELESTE Y BLANCA,3,18969,1,2021,PASO,PROVISORIO,NORMAL,PASO21n,Diputado Nacional,DN
16,JUNTOS,DAR EL PASO,3,8922,2,2021,PASO,PROVISORIO,NORMAL,PASO21n,Diputado Nacional,DN
16,JUNTOS,ES JUNTOS,3,15865,2,2021,PASO,PROVISORIO,NORMAL,PASO21n,Diputado Nacional,DN
10,UNIDAD CIUDADANA,CELESTE Y BLANCA U,3,27115,1,2017,PASO,PROVISORIO,NORMAL,PASO17n,Diputado Nacional,DN
10,CAMBIEMOS BUENOS AIRES,CAMBIANDO JUNTOS,3,22903,2,2017,PASO,PROVISORIO,NORMAL,PASO17n,Diputado Nacional,DN
