año,eleccion_tag,cargo_nombre,POSITIVO,BLANCO,NULO
2011,GRAL11n,Concejal,50300.0,4558.0,344.0
2011,GRAL11n,Diputado Nacional,61127.0,5779.0,342.0
2011,GRAL11n,Gobernador,59810.0,7175.0,363.0
2011,GRAL11n,Presidente,65448.0,2095.0,346.0
2011,GRAL11n,Senador Nacional,61823.0,5060.0,341.0
2011,GRAL11n,Senador Provincial,58968.0,7821.0,358.0
2013,GRAL13n,Diputado Nacional,67785.0,4361.0,760.0
2013,GRAL13n,Intendente,66181.0,6395.0,820.0
2013,PASO13n,Diputado Nacional,60877.0,2255.0,1023.0
2013,PASO13n,Diputado Provincial,58105.0,4337.0,1052.0
2013,PASO13n,Intendente,50914.0,3929.0,1064.0
2015,BLTG15n,Presidente,73087.0,1170.0,603.0
2015,GRAL15n,Concejal,66816.0,5660.0,384.0
2015,GRAL15n,Diputado Nacional,65063.0,7560.0,337.0
2015,GRAL15n,Gobernador,65948.0,7087.0,345.0
2015,GRAL15n,Parlamentarios Mercosur Nacionales,65811.0,6625.0,345.0
2015,GRAL15n,Parlamentarios Mercosur Provinciales,64201.0,8457.0,333.0
2015,GRAL15n,Presidente,70881.0,2097.0,377.0
2015,GRAL15n,Senador Provincial,64095.0,8771.0,338.0
2015,PASO15n,Concejal,58885.0,6554.0,411.0
2015,PASO15n,Diputado Nacional,57417.0,8134.0,386.0
2015,PASO15n,Gobernador,56717.0,7271.0,381.0
2015,PASO15n,Parlamentarios Mercosur Nacionales,57226.0,7490.0,419.0
2015,PASO15n,Parlamentarios Mercosur Provinciales,55530.0,8510.0,408.0
2015,PASO15n,Presidente,63180.0,3379.0,411.0
2015,PASO15n,Senador Provincial,54959.0,8715.0,399.0
2017,GRAL17n,Diputado Nacional,71012.0,3464.0,653.0
2017,GRAL17n,Diputado Provincial,136686.0,10369.0,1465.0
2017,GRAL17n,Senador Nacional,72544.0,1962.0,681.0
2017,PASO17n,Diputado Nacional,68642.0,4487.0,501.0
2017,PASO17n,Diputado Provincial,66984.0,5954.0,487.0
2017,PASO17n,Senador Nacional,70415.0,3283.0,510.0
2019,GRAL19n,Diputado Nacional,68757.0,4489.0,410.0
2019,GRAL19n,Gobernador,70358.0,3382.0,412.0
2019,GRAL19n,Intendente,68010.0,5597.0,420.0
2019,GRAL19n,Presidente,72192.0,1139.0,415.0
2019,GRAL19n,Senador Provincial,69372.0,4279.0,414.0
2019,PASO19n,Diputado Nacional,65810.0,7150.0,432.0
2019,PASO19n,Gobernador,67819.0,5819.0,433.0
2019,PASO19n,Intendente,66874.0,7095.0,520.0
2019,PASO19n,Presidente,70411.0,3347.0,428.0
2019,PASO19n,Senador Provincial,66361.0,7196.0,420.0
2021,PASO21n,Concejal,58295.0,6153.0,937.0
2021,PASO21n,Diputado Nacional,61057.0,3478.0,921.0
2021,PASO21n,Diputado Provincial,55837.0,8407.0,959.0
2023,PASO23n,Diputado Nacional,57964.0,9284.0,364.0
2023,PASO23n,Gobernador,58298.0,9212.0,377.0
2023,PASO23n,Intendente,61247.0,6511.0,398.0
2023,PASO23n,Parlamentarios Mercosur Nacionales,58015.0,9225.0,395.0
2023,PASO23n,Parlamentarios Mercosur Provinciales,57450.0,9758.0,359.0
2023,PASO23n,Presidente,62282.0,5705.0,394.0
2023,PASO23n,Senador Nacional,58205.0,9030.0,372.0
2023,PASO23n,Senador Provincial,57542.0,9971.0,364.0
