distrito_id,seccionprovincial_id,seccion_id,cargo_id,agrupacion_id,agrupacion_nombre,lista_numero,votos_tipo,votos_cantidad
1,0.0,1,1,13,MOVIMIENTO AL SOCIALISMO,3017,POSITIVO,493
1,0.0,1,1,20,UNION DEL CENTRO DEMOCRATICO,3018,POSITIVO,185
1,0.0,1,1,40,MOVIMIENTO LIBRES DEL SUR,3019,POSITIVO,263
1,0.0,1,1,57,MOVIMIENTO DE ACCION VECINAL,3025,POSITIVO,170
1,0.0,1,1,90,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,POSITIVO,97
1,0.0,1,1,90,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,POSITIVO,326
1,0.0,1,1,92,POLITICA OBRERA,3020,POSITIVO,292
1,0.0,1,1,94,PROYECTO JOVEN,3022,POSITIVO,1
1,0.0,1,1,94,PROYECTO JOVEN,3023,POSITIVO,1
1,0.0,1,1,94,PROYECTO JOVEN,3024,POSITIVO,0
1,0.0,1,1,95,FRENTE PATRIOTA FEDERAL,3021,POSITIVO,204
1,0.0,1,1,131,FRENTE LIBER.AR,3002,POSITIVO,2
1,0.0,1,1,131,FRENTE LIBER.AR,3003,POSITIVO,1
1,0.0,1,1,131,FRENTE LIBER.AR,3004,POSITIVO,1
1,0.0,1,1,132,JUNTOS POR EL CAMBIO,3007,POSITIVO,19075
1,0.0,1,1,132,JUNTOS POR EL CAMBIO,3008,POSITIVO,31226
1,0.0,1,1,133,HACEMOS POR NUESTRO PAIS,3001,POSITIVO,970
1,0.0,1,1,134,UNION POR LA PATRIA,3005,POSITIVO,18062
1,0.0,1,1,134,UNION POR LA PATRIA,3006,POSITIVO,7635
1,0.0,1,1,135,LA LIBERTAD AVANZA,3016,POSITIVO,20714
1,0.0,1,1,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,POSITIVO,3413
1,0.0,1,1,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,POSITIVO,1088
1,0.0,1,1,137,PRINCIPIOS Y VALORES,3011,POSITIVO,1389
1,0.0,1,3,5,DEMOCRATA CRISTIANO,3179,POSITIVO,167
1,0.0,1,3,40,MOVIMIENTO LIBRES DEL SUR,3019,POSITIVO,276
1,0.0,1,3,77,FE,3164,POSITIVO,0
1,0.0,1,3,77,FE,3271,POSITIVO,1
1,0.0,1,3,77,FE,3309,POSITIVO,0
1,0.0,1,3,92,POLITICA OBRERA,3020,POSITIVO,308
1,0.0,1,3,95,FRENTE PATRIOTA FEDERAL,3021,POSITIVO,212
1,0.0,1,3,132,JUNTOS POR EL CAMBIO,3007,POSITIVO,18687
1,0.0,1,3,132,JUNTOS POR EL CAMBIO,3008,POSITIVO,30303
1,0.0,1,3,135,LA LIBERTAD AVANZA,3016,POSITIVO,20897
1,0.0,1,3,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,POSITIVO,3622
1,0.0,1,3,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,POSITIVO,1141
1,0.0,1,3,262,EL MOVIMIENTO,3142,POSITIVO,131
1,0.0,1,3,343,MOVIMIENTO DE JUBILADOS Y JUVENTUD,3724,POSITIVO,119
1,0.0,1,3,345,REPUBLICANOS UNIDOS,3263,POSITIVO,175
1,0.0,1,3,347,APTITUD RENOVADORA,3175,POSITIVO,967
1,0.0,1,3,350,LA IZQUIERDA EN LA CIUDAD,3017,POSITIVO,505
1,0.0,1,3,351,PRINCIPIOS Y VALORES,3172,POSITIVO,1369
1,0.0,1,3,554,ALIANZA UNION POR LA PATRIA,3111,POSITIVO,24800
1,0.0,1,8,13,MOVIMIENTO AL SOCIALISMO,3017,POSITIVO,506
1,0.0,1,8,40,MOVIMIENTO LIBRES DEL SUR,3019,POSITIVO,269
1,0.0,1,8,57,MOVIMIENTO DE ACCION VECINAL,3025,POSITIVO,173
1,0.0,1,8,90,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,POSITIVO,96
1,0.0,1,8,90,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,POSITIVO,319
1,0.0,1,8,92,POLITICA OBRERA,3020,POSITIVO,303
1,0.0,1,8,94,PROYECTO JOVEN,3022,POSITIVO,2
1,0.0,1,8,94,PROYECTO JOVEN,3024,POSITIVO,0
1,0.0,1,8,94,PROYECTO JOVEN,3028,POSITIVO,36
1,0.0,1,8,95,FRENTE PATRIOTA FEDERAL,3021,POSITIVO,207
1,0.0,1,8,131,FRENTE LIBER.AR,3002,POSITIVO,2
1,0.0,1,8,131,FRENTE LIBER.AR,3004,POSITIVO,1
1,0.0,1,8,132,JUNTOS POR EL CAMBIO,3007,POSITIVO,18820
1,0.0,1,8,132,JUNTOS POR EL CAMBIO,3008,POSITIVO,30578
1,0.0,1,8,133,HACEMOS POR NUESTRO PAIS,3001,POSITIVO,956
1,0.0,1,8,134,UNION POR LA PATRIA,3005,POSITIVO,24961
1,0.0,1,8,135,LA LIBERTAD AVANZA,3016,POSITIVO,20715
1,0.0,1,8,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,POSITIVO,3606
1,0.0,1,8,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,POSITIVO,1132
1,0.0,1,8,137,PRINCIPIOS Y VALORES,3011,POSITIVO,1373
1,0.0,1,9,5,DEMOCRATA CRISTIANO,3179,POSITIVO,157
1,0.0,1,9,40,MOVIMIENTO LIBRES DEL SUR,3019,POSITIVO,275
1,0.0,1,9,77,FE,3164,POSITIVO,0
1,0.0,1,9,77,FE,3271,POSITIVO,1
1,0.0,1,9,77,FE,3309,POSITIVO,0
1,0.0,1,9,92,POLITICA OBRERA,3020,POSITIVO,303
1,0.0,1,9,95,FRENTE PATRIOTA FEDERAL,3021,POSITIVO,211
1,0.0,1,9,132,JUNTOS POR EL CAMBIO,3007,POSITIVO,18689
1,0.0,1,9,132,JUNTOS POR EL CAMBIO,3008,POSITIVO,30149
1,0.0,1,9,135,LA LIBERTAD AVANZA,3016,POSITIVO,20743
