votos_tipo,,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO
cargo_tag,,GB,GB,GB,GB,IN,IN,IN,IN,IN,PR,PR,PR,PR,PR
agrupacion_id,,132,132,135,134,132,132,134,134,135,134,134,135,132,132
agrupacion_nombre,,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,UNION POR LA PATRIA,UNION POR LA PATRIA,LA LIBERTAD AVANZA,UNION POR LA PATRIA,UNION POR LA PATRIA,LA LIBERTAD AVANZA,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO
lista_numero,,3603,3602,3612,3604,3603,3602,3604,3631,3612,3005,3006,3016,3008,3007
circuito_id,mesa_id,,,,,,,,,,,,,,
001013,1,62,55,45,45,76,41,49,38,31,49,24,51,63,45
001013,2,79,41,60,63,92,28,33,50,42,45,20,67,75,40
001013,3,47,42,56,74,59,32,34,39,56,39,38,38,32,38
001013,4,64,32,47,78,72,27,56,35,36,56,18,50,73,25
001013,5,58,37,45,87,64,27,65,44,34,0,0,56,66,29
001013,6,49,43,60,70,69,29,48,38,47,32,36,67,49,40
001013,7,61,59,50,57,101,29,30,40,38,40,17,59,69,45
001013,8,62,41,41,87,83,24,29,0,29,68,24,45,66,36
001013,9,63,43,36,71,81,23,48,39,24,40,25,38,67,37
001013,10,60,32,43,85,69,20,54,50,35,51,34,54,59,31
001013,11,76,41,37,63,86,25,43,37,34,38,16,46,74,44
001013,12,77,47,40,74,88,29,49,48,31,46,27,46,78,43
001013,13,63,60,49,82,80,42,56,48,35,53,29,58,69,50
001013,14,62,53,49,73,66,45,35,58,39,51,22,56,65,45
001013,15,85,50,43,72,108,25,43,46,35,51,23,46,94,41
001013,16,59,44,44,80,79,21,58,41,32,48,28,52,63,39
001013,17,79,54,41,59,102,35,41,30,28,37,23,46,84,45
001013,18,69,46,41,76,82,33,53,36,28,54,29,48,73,41
001013,19,54,50,45,50,69,35,45,42,35,39,40,49,57,46
001013,20,72,41,42,72,83,33,47,37,35,49,21,49,80,37
001013,21,57,61,51,68,83,32,35,45,47,38,26,55,64,53
001013,22,80,37,46,69,84,29,52,33,33,46,23,52,82,0
001013,23,47,37,3,96,63,21,58,50,3,72,22,51,50,36
001013,24,80,64,49,0,53,85,41,0,34,51,0,59,68,40
001013,25,78,47,49,69,100,35,36,36,36,49,20,59,79,43
001013,26,79,47,53,54,97,27,41,31,37,32,22,55,90,35
001013,27,70,52,47,66,85,29,50,42,39,47,23,59,69,46
001013,28,72,42,43,64,92,28,44,34,43,49,14,54,69,37
001013,29,75,42,42,85,91,25,60,30,38,63,21,46,83,34
001013,30,61,39,48,81,83,17,56,55,37,71,12,55,65,35
001013,31,60,33,56,67,74,22,50,38,37,50,14,58,62,30
001013,32,49,41,43,94,66,30,51,62,29,68,29,49,51,38
001013,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001013,34,59,35,43,74,72,16,30,42,35,50,25,50,64,28
001013,35,55,41,38,71,65,28,47,46,32,52,17,49,56,45
001013,36,83,39,40,62,96,28,44,34,31,40,22,48,83,37
001013,37,58,43,45,66,81,24,31,53,30,48,27,49,62,41
001013,38,53,26,51,82,66,20,55,46,42,57,27,59,57,23
001013,39,71,52,51,70,86,37,39,47,40,46,22,57,71,54
001013,40,70,54,40,67,89,28,44,40,31,53,10,47,77,46
001013,41,55,50,44,78,74,33,51,49,38,59,22,57,62,44
001013,42,54,41,51,74,67,30,48,47,38,54,15,62,55,34
001013,43,62,32,61,64,72,36,53,36,45,43,26,61,61,30
001013,44,60,52,47,52,79,36,40,39,31,48,0,51,67,46
001013,45,61,34,48,67,73,18,40,51,35,47,23,53,64,33
001013,46,83,39,47,59,96,29,29,49,33,42,16,53,89,33
001013,47,71,98,46,70,94,28,40,41,32,46,23,31,82,40
001013,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001013,49,65,38,55,60,92,19,43,27,46,41,18,61,75,31
001013,50,52,50,58,64,72,38,40,50,41,44,23,66,63,44
001013,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001013,52,42,42,38,74,58,23,58,43,26,43,25,49,47,38
001013,53,6,7,16,39,6,5,29,20,14,26,13,18,8,7
001013,9001,18,12,20,59,23,10,38,26,21,0,0,0,0,0
001013,9002,19,16,10,52,26,13,40,15,10,0,0,0,0,0
001013,9003,25,12,25,51,30,7,31,29,23,0,0,0,0,0
001013,9004,18,21,21,59,21,20,41,21,17,0,0,0,0,0
001014,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001014,55,41,20,39,52,51,9,77,60,40,67,0,59,41,23
001014,56,30,24,68,71,40,23,62,25,57,54,22,77,31,25
001014,57,33,20,65,69,39,15,59,39,52,48,28,74,32,18
001014,58,42,24,50,72,48,20,46,37,44,43,27,62,42,27
001014,59,37,18,68,104,48,15,67,47,57,75,25,67,40,18
001014,60,38,20,49,93,4,14,57,48,41,63,23,59,37,17
001014,61,21,15,35,117,26,7,79,50,34,85,28,46,23,15
001014,62,35,24,61,112,42,16,42,45,57,52,39,77,36,20
001014,63,22,26,69,90,35,17,67,37,57,75,15,72,26,24
001014,64,38,26,56,80,56,13,64,34,48,70,15,74,39,25
001014,65,35,34,59,85,45,22,53,45,51,58,23,70,39,32
001014,66,24,44,60,88,24,61,58,38,48,57,28,68,43,26
001014,67,39,24,55,40,43,12,39,49,48,38,22,56,43,17
001014,68,37,37,48,49,57,21,60,34,34,66,16,51,39,32
001014,69,26,19,66,103,35,16,64,56,56,75,29,73,31,20
001014,70,47,22,43,31,53,13,63,36,39,75,12,53,45,23
001014,71,28,24,52,103,44,17,69,48,40,68,34,66,28,24
001014,72,29,31,68,65,49,20,58,24,55,51,12,78,29,37
001014,73,49,22,54,67,58,11,55,33,45,57,9,69,98,17
001014,74,42,23,58,69,51,24,61,21,46,46,18,66,43,23
001014,75,34,30,53,82,40,24,65,33,53,66,13,68,36,29
001014,76,50,18,49,80,62,11,57,42,36,55,28,56,49,16
001014,77,41,25,49,83,52,21,65,39,39,57,22,60,43,22
001014,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001014,79,52,30,60,103,67,24,50,40,50,40,36,70,54,28
001014,80,31,26,62,81,40,24,66,40,47,59,26,67,29,29
001014,81,37,24,46,94,53,16,44,72,36,62,27,59,35,23
001014,82,37,22,50,92,50,14,60,52,38,62,32,61,41,21
001014,83,32,21,52,111,46,15,82,46,40,76,33,60,30,20
001014,84,47,29,46,86,64,19,56,33,29,69,14,61,40,31
001014,85,45,29,49,95,69,24,78,38,38,63,33,60,47,25
001014,86,41,25,62,55,57,24,45,32,46,48,6,74,43,25
001014,87,35,21,67,79,38,14,59,37,62,52,0,78,34,18
001014,88,30,19,57,95,41,15,61,36,46,61,26,71,30,19
001014,89,24,20,65,79,37,14,67,38,56,17,71,4,1,24
001014,90,37,24,6,108,50,14,51,45,52,66,20,73,39,23
001014,91,42,29,49,75,59,19,57,38,39,56,22,55,41,28
001014,92,33,17,68,62,37,17,64,48,70,62,28,72,33,19
001014,93,48,24,64,64,53,17,57,34,57,54,17,77,44,25
001014,94,47,22,68,58,57,15,32,41,57,43,15,34,49,21
001014,95,31,33,50,86,44,19,62,39,45,64,22,64,31,33
001014,96,30,11,54,103,41,4,53,45,42,70,27,62,30,13
001014,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001014,98,38,20,58,65,45,13,47,42,50,66,27,69,41,19
001014,99,39,28,0,74,39,21,34,52,0,53,19,85,32,32
001014,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001014,101,33,31,54,90,48,23,69,48,49,73,19,56,33,20
001014,102,30,29,59,64,39,20,27,66,47,56,0,72,34,24
001014,103,33,17,53,100,42,15,59,46,43,65,85,67,32,15
001014,104,39,21,59,94,55,15,92,34,42,80,19,65,40,19
001014,105,49,29,72,76,68,12,57,41,51,59,19,85,17,23
001014,106,54,22,60,66,71,10,46,36,50,51,14,69,56,18
001014,107,34,24,38,92,45,22,49,44,29,63,20,45,36,20
001014,108,38,21,53,91,53,10,64,44,40,53,29,61,42,18
001014,109,33,16,59,79,40,14,63,33,49,54,17,71,33,17
001014,110,45,30,53,84,53,20,78,27,49,63,20,54,42,28
001014,111,36,27,67,95,47,21,71,33,65,56,36,60,36,27
001014,112,41,18,60,70,52,17,62,36,44,57,29,72,41,17
001014,113,49,27,48,101,62,20,72,48,39,75,22,66,45,28
001014,114,37,38,49,82,58,23,64,41,40,50,25,39,35,37
001014,115,34,21,61,84,42,15,56,44,51,78,11,71,31,19
001014,116,39,22,55,93,51,15,43,48,44,39,31,63,43,22
001014,117,44,29,62,82,59,18,45,57,62,65,1,66,44,30
001014,118,40,28,39,88,51,20,73,32,35,66,23,50,40,25
001014,119,42,20,51,80,53,12,58,39,45,60,19,62,43,16
001014,120,30,21,67,87,36,14,86,46,54,73,30,77,29,21
001014,121,28,22,46,104,28,17,84,41,39,57,51,53,28,20
001014,122,34,21,65,94,48,11,70,30,42,55,26,64,32,24
001014,123,26,25,34,95,36,16,83,36,28,61,33,43,27,23
001014,124,41,22,65,75,58,18,49,37,58,49,25,77,43,22
001014,125,46,22,50,75,65,12,49,39,47,57,14,71,49,18
001014,126,31,27,55,78,47,15,52,42,41,48,30,66,29,26
001014,127,40,26,41,78,59,15,48,48,34,54,28,60,41,21
001014,128,40,24,0,98,58,11,64,48,45,67,28,65,40,26
001014,129,38,26,50,76,46,19,43,44,41,66,8,55,40,24
001014,130,37,15,60,92,49,0,61,49,48,67,23,66,33,18
001014,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001014,132,37,20,66,96,47,16,68,53,49,68,24,78,35,20
001014,133,24,28,64,74,19,36,57,43,52,56,24,76,31,25
001014,134,44,23,67,95,54,14,66,46,56,61,34,76,45,25
001014,135,9,16,32,51,13,7,35,26,30,38,13,35,10,14
001015,136,56,26,55,84,69,18,50,47,69,63,22,73,59,21
001015,137,55,47,43,76,71,24,54,43,31,54,25,50,64,36
001015,138,61,45,44,73,87,28,38,60,29,49,21,53,59,42
001015,139,52,29,50,86,69,13,30,60,36,72,16,56,55,23
001015,140,55,43,60,76,74,32,53,48,37,51,21,68,54,40
001015,141,55,39,63,73,69,26,41,57,49,58,16,68,64,31
001015,142,52,38,58,70,78,25,53,38,46,43,25,69,56,34
001015,143,47,39,67,81,47,44,50,48,71,59,22,71,56,36
001015,144,55,31,65,62,68,21,56,52,53,53,0,80,47,31
001015,145,69,37,63,65,83,24,32,49,44,45,15,70,75,34
001015,146,67,48,56,86,66,48,55,33,56,55,23,80,66,35
001015,147,55,46,49,58,75,23,38,49,32,36,0,54,61,42
001015,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001015,149,36,41,76,76,61,22,59,37,62,56,14,84,40,39
001015,150,56,35,63,80,70,23,57,41,49,54,26,73,57,29
001015,151,68,38,61,77,85,23,47,53,49,49,27,73,68,29
001015,152,51,35,67,83,69,28,49,40,51,61,23,73,51,34
001015,153,58,49,49,44,75,29,50,41,38,41,28,57,55,44
001015,154,59,37,66,67,74,22,48,52,69,45,22,80,58,34
001015,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001015,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001016,157,53,25,48,86,67,15,64,41,33,59,19,61,54,20
001016,158,42,28,53,86,57,19,61,34,57,66,23,59,48,27
001016,159,39,37,42,84,54,21,54,42,36,58,27,54,44,27
001016,160,57,38,50,69,77,19,50,43,36,50,18,60,65,34
001016,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001016,162,57,26,60,76,72,21,57,35,46,55,24,67,55,21
001016,163,61,26,55,70,70,18,48,29,45,37,33,60,64,25
001016,164,50,36,58,67,65,25,37,54,43,41,29,65,52,35
001016,165,34,25,56,85,48,13,67,40,43,49,37,64,41,20
001016,166,41,20,65,91,54,18,59,46,53,56,37,73,41,21
001016,167,44,37,58,80,58,38,56,48,43,62,25,63,43,32
001016,168,45,26,66,82,61,14,48,59,45,56,28,82,47,21
001016,169,52,31,52,73,64,21,42,42,44,44,30,59,49,33
001016,170,35,25,48,53,50,15,39,23,39,44,12,61,34,26
001017,171,31,18,53,93,35,11,56,41,50,78,37,61,30,16
001017,172,39,13,51,63,43,11,49,52,45,45,41,57,37,17
001017,173,21,15,59,100,35,12,69,46,47,59,37,74,19,18
001017,174,25,17,54,3,32,12,73,0,44,59,35,63,30,16
001017,175,32,25,53,86,33,15,55,41,39,71,17,60,33,22
001017,176,32,26,60,50,38,19,51,44,50,45,32,65,31,34
001017,177,37,19,58,97,45,17,70,45,45,70,27,67,41,17
001017,178,31,24,48,85,44,15,58,40,34,55,31,55,30,23
001017,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001017,180,35,27,56,82,45,21,50,46,58,62,21,63,33,27
001017,181,18,13,53,92,21,9,76,47,49,70,34,60,18,15
001017,182,43,17,61,98,49,12,41,73,51,59,39,69,41,17
001017,183,26,23,64,76,32,20,50,42,62,61,21,71,30,21
001017,184,33,26,51,92,44,19,74,39,41,61,31,64,32,25
