agrupacion_nombre_,color_hex,nota,grupo
Alianza Compromiso Federal,#8db600,rodriguez saa,3
Alianza Frente Amplio Progresista,#cf36b5,socialistas,4
Alianza Frente Para La Victoria,#1ac0c6,,
Alianza Unión Para El Desarrollo Social,#B87333,alfonsin,2
Resto,#ffcb52,,0
Alianza Frente Popular,#cf36cf,duhalde,1
Alianza Union Para El Desarrollo Social - Udeso,#B87333,alfonsin,2
Cambiemos,#fdfa66,,
Frente Para La Victoria,#1ac0c6,,
Alianza Cambiemos,#fdfa66,,
Alianza Frente De Izquierda Y De Los Trabajadores,#e74645,,
Alianza Unidos Por Una Nueva Alternativa (Una),#cf36cf,massa,1
Alianza Progresistas,#cf36b5,socialistas,4
Consenso Federal,#8db600,lavagna,3
Frente De Izquierda Y De Trabajadores - Unidad,#e74645,,
Frente De Todos,#1ac0c6,,
Juntos Por El Cambio,#fdfa66,,
Frente Progresista Civico Y Social,#cf36b5,socialistas,4
Frente Renovador,#cf36cf,massa,1
Union Civica Radical,#B87333,ucr,2
Alianza Union Por Cordoba,#8db600,schiaretti,3
Frente De Izquierda Y De Los Trabajadores,#e74645,,
Frente Justicialista,#8db600,alberto,3
Unidad Ciudadana,#1ac0c6,,
1Pais,#cf36cf,massa,1
Hacemos Por Córdoba,#8db600,schiaretti,3
Union Por La Patria,#1ac0c6,,
La Libertad Avanza,#7a49a5,milei,
Hacemos Por Nuestro Pais,#8db600,schiaretti,3
